鄉鎮市區,租賃標的,土地區段位置或建物區門牌,租賃總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,租賃年月,租賃筆棟數,租賃層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,租賃總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,有無附傢俱,總額元,單價每平方公尺,車位類別,租賃總面積平方公尺,租金總額元
信義區,建物,臺北市信義區信義路五段101~150號,0.0,其他,,,10211,土地0建物1車位0,五層,25,套房(1房1廳1衛),住家用,見其他登記事項,0931130,117.84,1,1,1,有,有,有,60000,509,坡道平面,0.0,0
信義區,建物,臺北市信義區松仁路151~200號,0.0,住,,,10211,土地0建物1車位0,七層,14,住宅大樓(11層含以上有電梯),住家用,鋼骨鋼筋混凝土造,0930114,451.05,4,3,4,有,有,有,210000,466,坡道平面,49.24,0
大同區,建物,臺北市大同區市民大道一段201~250號,0.0,其他,,,10211,土地0建物1車位0,十一層,18,住宅大樓(11層含以上有電梯),住家用,見其他登記事項,0980724,137.03,3,2,2,有,有,有,66000,482,,0.0,0
大同區,建物,臺北市大同區保安街1~50號,0.0,商,,,10212,土地0建物1車位0,十一層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1010522,136.74,2,2,2,有,有,有,42000,307,坡道平面,0.0,0
大安區,建物,臺北市大安區師大路51~100號,0.0,住,,,10211,土地0建物1車位0,一層,6,店面(店鋪),商業用,鋼筋混凝土造,0770118,82.3,0,0,0,無,無,無,59000,717,,0.0,0
大安區,建物,臺北市大安區師大路51~100號,0.0,住,,,10211,土地0建物1車位0,一層,6,店面(店鋪),商業用,鋼筋混凝土造,0770118,82.3,0,0,0,無,無,無,59000,717,,0.0,0
大安區,建物,臺北市大安區仁愛路四段408巷1~50號,0.0,商,,,10211,土地0建物1車位0,三層,9,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0970701,107.49000000000001,1,2,1,有,有,有,40000,372,,0.0,0
大安區,建物,臺北市大安區安和路一段127巷1~50號,0.0,住,,,10211,土地0建物1車位0,見其他登記事項,5,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0690913,427.05,5,3,4,有,無,無,160000,375,,0.0,0
大安區,建物,臺北市大安區通安街51~100號,0.0,商,,,10211,土地0建物1車位0,一層,5,店面(店鋪),商業用,鋼筋混凝土造,,36.65,0,2,1,有,無,無,25000,682,,0.0,0
大安區,建物,臺北市大安區信義路四段251~300號,0.0,商,,,10211,土地0建物1車位0,六層,15,辦公商業大樓,商業用,鋼筋混凝土造,0741107,230.14999999999998,0,0,0,無,有,無,65000,282,,0.0,0
士林區,建物,臺北市士林區中山北路六段201~250號,0.0,住,,,10211,土地0建物1車位0,五層,14,住宅大樓(11層含以上有電梯),住家用,鋼骨鋼筋混凝土造,0930518,166.37,4,2,2,有,有,有,70000,421,,0.0,0
士林區,建物,臺北市士林區中山北路六段157巷1~50號,0.0,其他,,,10211,土地0建物1車位0,十三層,15,其他,見其他登記事項,鋼筋混凝土造,0971002,102.87,2,0,0,無,有,無,58000,564,,0.0,0
